,modelId,layer,index,description,explanationModelName,typeName
65,gpt2-small,8-res_fs768-jb,57,technical instructions related to setting up and configuring software applications,gpt-3.5-turbo,oai_token-act-pair
66,gpt2-small,8-res_fs768-jb,58, mentions of specific activities or events,gpt-3.5-turbo,oai_token-act-pair
67,gpt2-small,8-res_fs768-jb,59,technical details and historical information about various subjects,gpt-3.5-turbo,oai_token-act-pair
68,gpt2-small,8-res_fs768-jb,60,phrases related to physical locations and travel,gpt-3.5-turbo,oai_token-act-pair
69,gpt2-small,8-res_fs768-jb,61,names of sports teams and players,gpt-3.5-turbo,oai_token-act-pair
70,gpt2-small,8-res_fs768-jb,62, phrases related to detailed descriptions of past events or actions,gpt-3.5-turbo,oai_token-act-pair
71,gpt2-small,8-res_fs768-jb,63,social media handles and posts,gpt-3.5-turbo,oai_token-act-pair
72,gpt2-small,8-res_fs768-jb,64,pronouns 'it' or 'It' followed by either a verb or a possessive pronoun,gpt-3.5-turbo,oai_token-act-pair
73,gpt2-small,8-res_fs768-jb,65,comments or feedback in a written form,gpt-3.5-turbo,oai_token-act-pair
74,gpt2-small,8-res_fs768-jb,66,Italian and Spanish words and names,gpt-3.5-turbo,oai_token-act-pair
75,gpt2-small,8-res_fs768-jb,67,"words related to music albums, facial features, and political figures",gpt-3.5-turbo,oai_token-act-pair
76,gpt2-small,8-res_fs768-jb,68,statements expressing a strong belief and demand for recognition,gpt-3.5-turbo,oai_token-act-pair
77,gpt2-small,8-res_fs768-jb,69,any word related to legal matters,gpt-3.5-turbo,oai_token-act-pair
78,gpt2-small,8-res_fs768-jb,70,phrases related to chemical substances and political topics,gpt-3.5-turbo,oai_token-act-pair
79,gpt2-small,8-res_fs768-jb,71,technical terms related to software development and programming,gpt-3.5-turbo,oai_token-act-pair
80,gpt2-small,8-res_fs768-jb,72,"instances of the word ""Too"" with a strong match",gpt-3.5-turbo,oai_token-act-pair
81,gpt2-small,8-res_fs768-jb,73,food-related descriptions and items,gpt-3.5-turbo,oai_token-act-pair
82,gpt2-small,8-res_fs768-jb,74,locations or addresses,gpt-3.5-turbo,oai_token-act-pair
83,gpt2-small,8-res_fs768-jb,75,names of individuals,gpt-3.5-turbo,oai_token-act-pair
84,gpt2-small,8-res_fs768-jb,76, words related to compliance or adherence,gpt-3.5-turbo,oai_token-act-pair
85,gpt2-small,8-res_fs768-jb,77,verbs related to transportation and movement,gpt-3.5-turbo,oai_token-act-pair
86,gpt2-small,8-res_fs768-jb,78,references to advancements in technology and infrastructure,gpt-3.5-turbo,oai_token-act-pair
87,gpt2-small,8-res_fs768-jb,79,statements expressing opinions or positions on political or social issues,gpt-3.5-turbo,oai_token-act-pair
88,gpt2-small,8-res_fs768-jb,80,"proper nouns, likely related to individuals, companies, or products",gpt-3.5-turbo,oai_token-act-pair
89,gpt2-small,8-res_fs768-jb,81,personal pronouns and verb forms referring to actions by or involving people,gpt-3.5-turbo,oai_token-act-pair
90,gpt2-small,8-res_fs768-jb,83,phrases related to expressing doubt or uncertainty,gpt-3.5-turbo,oai_token-act-pair
91,gpt2-small,8-res_fs768-jb,84,news articles and social media updates,gpt-3.5-turbo,oai_token-act-pair
92,gpt2-small,8-res_fs768-jb,85," phrases related to legal matters and regulations, specifically in the context of businesses and government compliance",gpt-3.5-turbo,oai_token-act-pair
93,gpt2-small,8-res_fs768-jb,86,future predictions or statements of what will happen,gpt-3.5-turbo,oai_token-act-pair
94,gpt2-small,8-res_fs768-jb,87,"software-related content, specifically mentioning software programs, security vulnerabilities, technology companies, and application features or issues",gpt-3.5-turbo,oai_token-act-pair
95,gpt2-small,8-res_fs768-jb,88,quotations,gpt-3.5-turbo,oai_token-act-pair
96,gpt2-small,8-res_fs768-jb,89,phrases related to political events and key officials,gpt-3.5-turbo,oai_token-act-pair
97,gpt2-small,8-res_fs768-jb,90,personal experiences and emotions expressed in text,gpt-3.5-turbo,oai_token-act-pair
98,gpt2-small,8-res_fs768-jb,91,technical terms related to computer programming and IT systems,gpt-3.5-turbo,oai_token-act-pair
99,gpt2-small,8-res_fs768-jb,92,references to commonly accepted ideas or standards,gpt-3.5-turbo,oai_token-act-pair
100,gpt2-small,8-res_fs768-jb,93,sentences related to political and legal matters,gpt-3.5-turbo,oai_token-act-pair
101,gpt2-small,8-res_fs768-jb,94,"keywords related to activities and events such as hikes, festivals, political events, and deck building",gpt-3.5-turbo,oai_token-act-pair
102,gpt2-small,8-res_fs768-jb,95,"technical specifications and details related to products, processes, or data analysis",gpt-3.5-turbo,oai_token-act-pair
103,gpt2-small,8-res_fs768-jb,96,"past tense verbs related to actions, events, or incidents",gpt-3.5-turbo,oai_token-act-pair
104,gpt2-small,8-res_fs768-jb,97,personal possessive pronouns and possessive phrases,gpt-3.5-turbo,oai_token-act-pair
105,gpt2-small,8-res_fs768-jb,98,"verbs expressing obligation, advice, or expectation",gpt-3.5-turbo,oai_token-act-pair
106,gpt2-small,8-res_fs768-jb,99,items of clothing and accessories,gpt-3.5-turbo,oai_token-act-pair
107,gpt2-small,8-res_fs768-jb,100,phrases related to specific locations or environments,gpt-3.5-turbo,oai_token-act-pair
108,gpt2-small,8-res_fs768-jb,101,"technical and legal terms related to intellectual property, pharmacy, and science",gpt-3.5-turbo,oai_token-act-pair
109,gpt2-small,8-res_fs768-jb,102,phrases related to sports events and team news,gpt-3.5-turbo,oai_token-act-pair
110,gpt2-small,8-res_fs768-jb,103,keywords related to entrepreneurship and business activities,gpt-3.5-turbo,oai_token-act-pair
111,gpt2-small,8-res_fs768-jb,104,phrases related to economics and financial matters,gpt-3.5-turbo,oai_token-act-pair
112,gpt2-small,8-res_fs768-jb,105,time-related information such as dates and specific times,gpt-3.5-turbo,oai_token-act-pair
113,gpt2-small,8-res_fs768-jb,106,dates and events in history,gpt-3.5-turbo,oai_token-act-pair
114,gpt2-small,8-res_fs768-jb,107,descriptions of criminal incidents and legal proceedings,gpt-3.5-turbo,oai_token-act-pair
115,gpt2-small,8-res_fs768-jb,108,mentions of possessive pronouns and related possessive terms,gpt-3.5-turbo,oai_token-act-pair
116,gpt2-small,8-res_fs768-jb,109,strong emotional expressions in a text,gpt-3.5-turbo,oai_token-act-pair
117,gpt2-small,8-res_fs768-jb,110,discussions related to political and economic systems,gpt-3.5-turbo,oai_token-act-pair
118,gpt2-small,8-res_fs768-jb,111,mentions of events or products being released or announced,gpt-3.5-turbo,oai_token-act-pair
119,gpt2-small,8-res_fs768-jb,112,"terms related to programming, syntax, and computational concepts",gpt-3.5-turbo,oai_token-act-pair
120,gpt2-small,8-res_fs768-jb,113,"information related to product descriptions, technical specifications, and financial data",gpt-3.5-turbo,oai_token-act-pair
121,gpt2-small,8-res_fs768-jb,114,"references to terrorism and extremist groups, particularly the Islamic State (ISIS)",gpt-3.5-turbo,oai_token-act-pair
122,gpt2-small,8-res_fs768-jb,115,phrases related to advice and personal experiences,gpt-3.5-turbo,oai_token-act-pair
123,gpt2-small,8-res_fs768-jb,117,proper nouns and names,gpt-3.5-turbo,oai_token-act-pair
124,gpt2-small,8-res_fs768-jb,118,"numerical values related to dates, numbers, and codes",gpt-3.5-turbo,oai_token-act-pair
125,gpt2-small,8-res_fs768-jb,119,mentions of legal cases and political events,gpt-3.5-turbo,oai_token-act-pair
126,gpt2-small,8-res_fs768-jb,120,phrases related to thoughts or considerations,gpt-3.5-turbo,oai_token-act-pair
127,gpt2-small,8-res_fs768-jb,121,"proper nouns related to political figures, government, and official titles",gpt-3.5-turbo,oai_token-act-pair
128,gpt2-small,8-res_fs768-jb,122,"news-related events, locations, and dates",gpt-3.5-turbo,oai_token-act-pair
129,gpt2-small,8-res_fs768-jb,123,terms related to technical concepts or definitions,gpt-3.5-turbo,oai_token-act-pair
130,gpt2-small,8-res_fs768-jb,124,"phrases related to beliefs, political standpoints, and group support",gpt-3.5-turbo,oai_token-act-pair
131,gpt2-small,8-res_fs768-jb,125, mentions of being accused of various actions or behaviors,gpt-3.5-turbo,oai_token-act-pair
132,gpt2-small,8-res_fs768-jb,126, names of famous individuals and specific locations,gpt-3.5-turbo,oai_token-act-pair
133,gpt2-small,8-res_fs768-jb,127,references to financial transactions or payments,gpt-3.5-turbo,oai_token-act-pair
134,gpt2-small,8-res_fs768-jb,128,mentions of specific locations or incidents involving them,gpt-3.5-turbo,oai_token-act-pair
135,gpt2-small,8-res_fs768-jb,129,texts related to career resignations and police investigations,gpt-3.5-turbo,oai_token-act-pair
136,gpt2-small,8-res_fs768-jb,130,phrases related to interior design and social interactions happening in a specific setting,gpt-3.5-turbo,oai_token-act-pair
137,gpt2-small,8-res_fs768-jb,131,information related to global politics and current events,gpt-3.5-turbo,oai_token-act-pair
138,gpt2-small,8-res_fs768-jb,132,statements related to political figures and their actions or behaviors,gpt-3.5-turbo,oai_token-act-pair
139,gpt2-small,8-res_fs768-jb,133,"mentions of specific locations and organizations, along with a focus on issues and actions related to those entities",gpt-3.5-turbo,oai_token-act-pair
140,gpt2-small,8-res_fs768-jb,134,"numbers and references to competition results, events, and achievements",gpt-3.5-turbo,oai_token-act-pair
141,gpt2-small,8-res_fs768-jb,135,references to legal proceedings and crime-related activities,gpt-3.5-turbo,oai_token-act-pair
142,gpt2-small,8-res_fs768-jb,136,information related to sports matches and player performances,gpt-3.5-turbo,oai_token-act-pair
143,gpt2-small,8-res_fs768-jb,137,"references to elections and political campaigns, including specific election-related terms and activities",gpt-3.5-turbo,oai_token-act-pair
144,gpt2-small,8-res_fs768-jb,138,names and entities related to prominent public figures or events,gpt-3.5-turbo,oai_token-act-pair
145,gpt2-small,8-res_fs768-jb,139,words related to software or technology releases,gpt-3.5-turbo,oai_token-act-pair
146,gpt2-small,8-res_fs768-jb,140,references to legal actions and law enforcement-related activities,gpt-3.5-turbo,oai_token-act-pair
147,gpt2-small,8-res_fs768-jb,141,"content related to news, events, and community engagement",gpt-3.5-turbo,oai_token-act-pair
148,gpt2-small,8-res_fs768-jb,143,"financial news related to fines, settlements, and legal actions",gpt-3.5-turbo,oai_token-act-pair
149,gpt2-small,8-res_fs768-jb,144,mentions of chronological rankings or the order of events,gpt-3.5-turbo,oai_token-act-pair
150,gpt2-small,8-res_fs768-jb,145,information related to weight loss studies and research,gpt-3.5-turbo,oai_token-act-pair
151,gpt2-small,8-res_fs768-jb,146,"names of individuals in the fields of politics, sports, and entertainment",gpt-3.5-turbo,oai_token-act-pair
152,gpt2-small,8-res_fs768-jb,147,information related to sports free agency,gpt-3.5-turbo,oai_token-act-pair
153,gpt2-small,8-res_fs768-jb,148,"powerful verbs and adjectives related to strength, control, and authority",gpt-3.5-turbo,oai_token-act-pair
154,gpt2-small,8-res_fs768-jb,149,phrases related to legal matters and actions taken by individuals or groups,gpt-3.5-turbo,oai_token-act-pair
155,gpt2-small,8-res_fs768-jb,150,words related to legal and political matters,gpt-3.5-turbo,oai_token-act-pair
156,gpt2-small,8-res_fs768-jb,151,repetitions of the word 'same',gpt-3.5-turbo,oai_token-act-pair
157,gpt2-small,8-res_fs768-jb,152,mentions of social media URLs,gpt-3.5-turbo,oai_token-act-pair
158,gpt2-small,8-res_fs768-jb,153,expressions of desire or intention,gpt-3.5-turbo,oai_token-act-pair
159,gpt2-small,8-res_fs768-jb,154,words related to legal or criminal activities,gpt-3.5-turbo,oai_token-act-pair
160,gpt2-small,8-res_fs768-jb,155,"words related to creating, building, and developing entities, systems, or relationships",gpt-3.5-turbo,oai_token-act-pair
161,gpt2-small,8-res_fs768-jb,156,economic and financial terms and statistics,gpt-3.5-turbo,oai_token-act-pair
162,gpt2-small,8-res_fs768-jb,157,information about fundraising campaigns and donations for various causes,gpt-3.5-turbo,oai_token-act-pair
163,gpt2-small,8-res_fs768-jb,158,technical terms related to legal and intellectual property issues,gpt-3.5-turbo,oai_token-act-pair
164,gpt2-small,8-res_fs768-jb,159,information related to news articles and current events,gpt-3.5-turbo,oai_token-act-pair
165,gpt2-small,8-res_fs768-jb,160,"proper nouns such as locations, names, and organizations",gpt-3.5-turbo,oai_token-act-pair
166,gpt2-small,8-res_fs768-jb,161,mentions of specific movie titles and characters from a superhero franchise,gpt-3.5-turbo,oai_token-act-pair
167,gpt2-small,8-res_fs768-jb,162,"instances of the word ""even"" being used in a sentence to emphasize a particular point",gpt-3.5-turbo,oai_token-act-pair
168,gpt2-small,8-res_fs768-jb,163,phrases related to various news events and articles,gpt-3.5-turbo,oai_token-act-pair
169,gpt2-small,8-res_fs768-jb,164,questions or requests for information,gpt-3.5-turbo,oai_token-act-pair
170,gpt2-small,8-res_fs768-jb,165,"terms related to laws, regulations, and judgments",gpt-3.5-turbo,oai_token-act-pair
171,gpt2-small,8-res_fs768-jb,166,words related to technology and technical instructions,gpt-3.5-turbo,oai_token-act-pair
172,gpt2-small,8-res_fs768-jb,167,references to legal cases and courtroom-related vocabulary,gpt-3.5-turbo,oai_token-act-pair
173,gpt2-small,8-res_fs768-jb,168,"topics related to community events and initiatives, particularly focused on improving public safety and enhancing neighborhood connections",gpt-3.5-turbo,oai_token-act-pair
174,gpt2-small,8-res_fs768-jb,169,mentions of specific dates in a variety of contexts,gpt-3.5-turbo,oai_token-act-pair
175,gpt2-small,8-res_fs768-jb,170,terminology related to teamwork and group efforts,gpt-3.5-turbo,oai_token-act-pair
176,gpt2-small,8-res_fs768-jb,171,positive or negative adjectives related to the quality of something,gpt-3.5-turbo,oai_token-act-pair
177,gpt2-small,8-res_fs768-jb,172,information related to events and articles on a website,gpt-3.5-turbo,oai_token-act-pair
178,gpt2-small,8-res_fs768-jb,173,"words related to different aspects of psychology, such as psychological status, personality traits, emotional intelligence, psychological distress, and psychological warfare",gpt-3.5-turbo,oai_token-act-pair
179,gpt2-small,8-res_fs768-jb,174,"words related to emotions, opinions, and personal interactions",gpt-3.5-turbo,oai_token-act-pair
180,gpt2-small,8-res_fs768-jb,175,mentions of albums and music-related information,gpt-3.5-turbo,oai_token-act-pair
181,gpt2-small,8-res_fs768-jb,176,phrases related to attempting or making an effort towards achieving something,gpt-3.5-turbo,oai_token-act-pair
182,gpt2-small,8-res_fs768-jb,177,words related to signing up or registering for services or events,gpt-3.5-turbo,oai_token-act-pair
183,gpt2-small,8-res_fs768-jb,178,phrases related to discussions or opinions,gpt-3.5-turbo,oai_token-act-pair
184,gpt2-small,8-res_fs768-jb,179,terms related to legal matters and regulatory standards,gpt-3.5-turbo,oai_token-act-pair
185,gpt2-small,8-res_fs768-jb,180,phrases related to technical and contractual information,gpt-3.5-turbo,oai_token-act-pair
186,gpt2-small,8-res_fs768-jb,181,"information related to government actions and policies, particularly concerning health and safety regulations",gpt-3.5-turbo,oai_token-act-pair
187,gpt2-small,8-res_fs768-jb,182,"terms related to political control, governance structures, and legislative issues",gpt-3.5-turbo,oai_token-act-pair
188,gpt2-small,8-res_fs768-jb,183,mentions of performing or participating in activities,gpt-3.5-turbo,oai_token-act-pair
189,gpt2-small,8-res_fs768-jb,184,words related to political events and entities,gpt-3.5-turbo,oai_token-act-pair
190,gpt2-small,8-res_fs768-jb,185,phrases related to political and legal issues,gpt-3.5-turbo,oai_token-act-pair
191,gpt2-small,8-res_fs768-jb,186,emotional responses and reactions,gpt-3.5-turbo,oai_token-act-pair
192,gpt2-small,8-res_fs768-jb,187,percentage values and demographic information,gpt-3.5-turbo,oai_token-act-pair
193,gpt2-small,8-res_fs768-jb,188,"proper nouns and specific names of people, locations, or titles",gpt-3.5-turbo,oai_token-act-pair
194,gpt2-small,8-res_fs768-jb,189,mentions of and references to people,gpt-3.5-turbo,oai_token-act-pair
195,gpt2-small,8-res_fs768-jb,190,references to real estate development and community projects,gpt-3.5-turbo,oai_token-act-pair
196,gpt2-small,8-res_fs768-jb,191,phrases related to storytelling or fictional events,gpt-3.5-turbo,oai_token-act-pair
197,gpt2-small,8-res_fs768-jb,192,"facts, numbers, statistics, and quoted statements in the context of reports, analysis, and documentation",gpt-3.5-turbo,oai_token-act-pair
198,gpt2-small,8-res_fs768-jb,193,"places, political entities, and activities related to government and international relations",gpt-3.5-turbo,oai_token-act-pair
199,gpt2-small,8-res_fs768-jb,195,"sentences with positive sentiment, expressions of gratitude, and requests for feedback",gpt-3.5-turbo,oai_token-act-pair
200,gpt2-small,8-res_fs768-jb,196,"information related to educational topics, specifically microlearning and meditation practices",gpt-3.5-turbo,oai_token-act-pair
201,gpt2-small,8-res_fs768-jb,197,"confession-related phrases, such as ""confessing,"" ""confessed,"" and ""confession.""",gpt-3.5-turbo,oai_token-act-pair
202,gpt2-small,8-res_fs768-jb,198,phrases related to politics and governmental activities,gpt-3.5-turbo,oai_token-act-pair
203,gpt2-small,8-res_fs768-jb,199,news-related words and phrases,gpt-3.5-turbo,oai_token-act-pair
204,gpt2-small,8-res_fs768-jb,200,reasoning or explanation related to decisions,gpt-3.5-turbo,oai_token-act-pair
205,gpt2-small,8-res_fs768-jb,201,phrases related to actions or settings,gpt-3.5-turbo,oai_token-act-pair
206,gpt2-small,8-res_fs768-jb,202,social issues related to inequality and gender biases,gpt-3.5-turbo,oai_token-act-pair
207,gpt2-small,8-res_fs768-jb,203,phrases related to advice and criticism,gpt-3.5-turbo,oai_token-act-pair
208,gpt2-small,8-res_fs768-jb,204,terms related to different parts of the body,gpt-3.5-turbo,oai_token-act-pair
209,gpt2-small,8-res_fs768-jb,205,quotes within double quotation marks,gpt-3.5-turbo,oai_token-act-pair
210,gpt2-small,8-res_fs768-jb,206,mentions of decision-making and planning in political or official contexts,gpt-3.5-turbo,oai_token-act-pair
211,gpt2-small,8-res_fs768-jb,207,"phrases related to emails, sending messages, and online communication",gpt-3.5-turbo,oai_token-act-pair
212,gpt2-small,8-res_fs768-jb,208,news articles related to various government policies and regulations,gpt-3.5-turbo,oai_token-act-pair
213,gpt2-small,8-res_fs768-jb,209,"phrases related to classified information, security, and sensitive matters",gpt-3.5-turbo,oai_token-act-pair
214,gpt2-small,8-res_fs768-jb,210,"instances of the word ""taken"", as well as related phrases like ""taken out"" or ""taken hold.""",gpt-3.5-turbo,oai_token-act-pair
215,gpt2-small,8-res_fs768-jb,211,expressions of time sequence,gpt-3.5-turbo,oai_token-act-pair
216,gpt2-small,8-res_fs768-jb,212,questions,gpt-3.5-turbo,oai_token-act-pair
217,gpt2-small,8-res_fs768-jb,213,names of people and positions,gpt-3.5-turbo,oai_token-act-pair
218,gpt2-small,8-res_fs768-jb,214,legal terms and actions,gpt-3.5-turbo,oai_token-act-pair
219,gpt2-small,8-res_fs768-jb,215,"sensitive topics related to sexual assault, abuse, and misconduct",gpt-3.5-turbo,oai_token-act-pair
220,gpt2-small,8-res_fs768-jb,216,words related to alternatives and options in various contexts,gpt-3.5-turbo,oai_token-act-pair
221,gpt2-small,8-res_fs768-jb,217,references to legal or criminal activities,gpt-3.5-turbo,oai_token-act-pair
222,gpt2-small,8-res_fs768-jb,218,"phrases related to durations of time, especially when referring to the past",gpt-3.5-turbo,oai_token-act-pair
223,gpt2-small,8-res_fs768-jb,219,"names of events, places, and organizations",gpt-3.5-turbo,oai_token-act-pair
224,gpt2-small,8-res_fs768-jb,220, mentions of potential risks or causes related to environmental issues,gpt-3.5-turbo,oai_token-act-pair
225,gpt2-small,8-res_fs768-jb,221,"phrases containing the words 'no time', 'any way', 'season', 'primaries', 'others', 'Tor', 'virtual', 'game', 'force', 'comp', 'et', 'turning', 'Flint', 'statement', 'doubt', 'House',",gpt-3.5-turbo,oai_token-act-pair
226,gpt2-small,8-res_fs768-jb,222,words related to defense or protection against potential harm or danger,gpt-3.5-turbo,oai_token-act-pair
227,gpt2-small,8-res_fs768-jb,223,"proper nouns or names starting with the letter ""G""",gpt-3.5-turbo,oai_token-act-pair
228,gpt2-small,8-res_fs768-jb,224,technical terms related to software development and data analysis,gpt-3.5-turbo,oai_token-act-pair
229,gpt2-small,8-res_fs768-jb,225,information related to press statements and efforts to reach a spokesperson for comments or responses,gpt-3.5-turbo,oai_token-act-pair
230,gpt2-small,8-res_fs768-jb,226,references to political figures and events,gpt-3.5-turbo,oai_token-act-pair
231,gpt2-small,8-res_fs768-jb,227,phrases related to specific locations (like cities or areas),gpt-3.5-turbo,oai_token-act-pair
